run,pop,herb,dose,rep,surv,biomass,bio_red
1,ROK-19,Cloransulam,1x,1,0,0,100
1,ROK-19,Cloransulam,1x,2,0,0,100
1,ROK-19,Cloransulam,1x,3,0,0,100
1,ROK-19,Cloransulam,1x,4,0,0,100
1,ROK-19,Cloransulam,1x,5,0,0,100
1,ROK-19,Glyphosate,1x,1,1,1.079,35.03131021
1,ROK-19,Glyphosate,1x,2,1,1.329,19.9783237
1,ROK-19,Glyphosate,1x,3,0,0,100
1,ROK-19,Glyphosate,1x,4,0,0,100
1,ROK-19,Glyphosate,1x,5,1,1.324,20.27938343
1,ROK-19,Atrazine,1x,1,0,0,100
1,ROK-19,Atrazine,1x,2,0,0,100
1,ROK-19,Atrazine,1x,3,0,0,100
1,ROK-19,Atrazine,1x,4,0,0,100
1,ROK-19,Atrazine,1x,5,0,0,100
1,ROK-19,Atrazine,1x,1,0,0,100
1,ROK-19,"2,4-D",1x,2,0,0,100
1,ROK-19,"2,4-D",1x,3,0,0,100
1,ROK-19,"2,4-D",1x,4,0,0,100
1,ROK-19,"2,4-D",1x,5,0,0,100
1,ROK-19,Dicamba,1x,1,0,0,100
1,ROK-19,Dicamba,1x,2,0,0,100
1,ROK-19,Dicamba,1x,3,0,0,100
1,ROK-19,Dicamba,1x,4,0,0,100
1,ROK-19,Dicamba,1x,5,0,0,100
1,ROK-19,Glufosinate,1x,1,0,0,100
1,ROK-19,Glufosinate,1x,2,0,0,100
1,ROK-19,Glufosinate,1x,3,0,0,100
1,ROK-19,Glufosinate,1x,4,0,0,100
1,ROK-19,Glufosinate,1x,5,0,0,100
1,ROK-19,Fomesafen,1x,1,0,0,100
1,ROK-19,Fomesafen,1x,2,0,0,100
1,ROK-19,Fomesafen,1x,3,0,0,100
1,ROK-19,Fomesafen,1x,4,0,0,100
1,ROK-19,Fomesafen,1x,5,0,0,100
1,ROK-19,Mesotrione,1x,1,0,0,100
1,ROK-19,Mesotrione,1x,2,0,0,100
1,ROK-19,Mesotrione,1x,3,1,0.2,87.95761079
1,ROK-19,Mesotrione,1x,4,0,0,100
1,ROK-19,Mesotrione,1x,5,0,0,100
1,ROK-19,Cloransulam,3x,1,0,0,100
1,ROK-19,Cloransulam,3x,2,0,0,100
1,ROK-19,Cloransulam,3x,3,0,0,100
1,ROK-19,Cloransulam,3x,4,0,0,100
1,ROK-19,Cloransulam,3x,5,0,0,100
1,ROK-19,Glyphosate,3x,1,0,0,100
1,ROK-19,Glyphosate,3x,2,0,0,100
1,ROK-19,Glyphosate,3x,3,0,0,100
1,ROK-19,Glyphosate,3x,4,0,0,100
1,ROK-19,Glyphosate,3x,5,0,0,100
1,ROK-19,Atrazine,3x,1,0,0,100
1,ROK-19,Atrazine,3x,2,0,0,100
1,ROK-19,Atrazine,3x,3,0,0,100
1,ROK-19,Atrazine,3x,4,0,0,100
1,ROK-19,Atrazine,3x,5,0,0,100
1,ROK-19,"2,4-D",3x,1,0,0,100
1,ROK-19,"2,4-D",3x,2,0,0,100
1,ROK-19,"2,4-D",3x,3,0,0,100
1,ROK-19,"2,4-D",3x,4,0,0,100
1,ROK-19,"2,4-D",3x,5,0,0,100
1,ROK-19,Dicamba,3x,1,0,0,100
1,ROK-19,Dicamba,3x,2,0,0,100
1,ROK-19,Dicamba,3x,3,0,0,100
1,ROK-19,Dicamba,3x,4,0,0,100
1,ROK-19,Dicamba,3x,5,0,0,100
1,ROK-19,Glufosinate,3x,1,0,0,100
1,ROK-19,Glufosinate,3x,2,0,0,100
1,ROK-19,Glufosinate,3x,3,0,0,100
1,ROK-19,Glufosinate,3x,4,0,0,100
1,ROK-19,Glufosinate,3x,5,0,0,100
1,ROK-19,Fomesafen,3x,1,0,0,100
1,ROK-19,Fomesafen,3x,2,0,0,100
1,ROK-19,Fomesafen,3x,3,0,0,100
1,ROK-19,Fomesafen,3x,4,0,0,100
1,ROK-19,Fomesafen,3x,5,0,0,100
1,ROK-19,Mesotrione,3x,1,0,0,100
1,ROK-19,Mesotrione,3x,2,0,0,100
1,ROK-19,Mesotrione,3x,3,0,0,100
1,ROK-19,Mesotrione,3x,4,0,0,100
1,ROK-19,Mesotrione,3x,5,0,0,100
2,ROK-19,Cloransulam,1x,1,0,0,100
2,ROK-19,Cloransulam,1x,2,0,0,100
2,ROK-19,Cloransulam,1x,3,0,0,100
2,ROK-19,Cloransulam,1x,4,0,0,100
2,ROK-19,Cloransulam,1x,5,0,0,100
2,ROK-19,Glyphosate,1x,1,1,1.305,24.44418712
2,ROK-19,Glyphosate,1x,2,1,1.285,25.60213062
2,ROK-19,Glyphosate,1x,3,1,1.105,36.02362205
2,ROK-19,Glyphosate,1x,4,0,0,100
2,ROK-19,Glyphosate,1x,5,1,0.954,44.76609541
2,ROK-19,Atrazine,1x,1,0,0,100
2,ROK-19,Atrazine,1x,2,0,0,100
2,ROK-19,Atrazine,1x,3,0,0,100
2,ROK-19,Atrazine,1x,4,0,0,100
2,ROK-19,Atrazine,1x,5,0,0,100
2,ROK-19,"2,4-D",1x,1,0,0,100
2,ROK-19,"2,4-D",1x,2,0,0,100
2,ROK-19,"2,4-D",1x,3,0,0,100
2,ROK-19,"2,4-D",1x,4,0,0,100
2,ROK-19,"2,4-D",1x,5,0,0,100
2,ROK-19,Dicamba,1x,1,0,0,100
2,ROK-19,Dicamba,1x,2,0,0,100
2,ROK-19,Dicamba,1x,3,0,0,100
2,ROK-19,Dicamba,1x,4,0,0,100
2,ROK-19,Dicamba,1x,5,0,0,100
2,ROK-19,Glufosinate,1x,1,0,0,100
2,ROK-19,Glufosinate,1x,2,0,0,100
2,ROK-19,Glufosinate,1x,3,0,0,100
2,ROK-19,Glufosinate,1x,4,0,0,100
2,ROK-19,Glufosinate,1x,5,0,0,100
2,ROK-19,Fomesafen,1x,1,0,0,100
2,ROK-19,Fomesafen,1x,2,0,0,100
2,ROK-19,Fomesafen,1x,3,0,0,100
2,ROK-19,Fomesafen,1x,4,0,0,100
2,ROK-19,Fomesafen,1x,5,0,0,100
2,ROK-19,Mesotrione,1x,1,1,0.305,82.34136174
2,ROK-19,Mesotrione,1x,2,0,0,100
2,ROK-19,Mesotrione,1x,3,0,0,100
2,ROK-19,Mesotrione,1x,4,0,0,100
2,ROK-19,Mesotrione,1x,5,0,0,100
2,ROK-19,Cloransulam,3x,1,0,0,100
2,ROK-19,Cloransulam,3x,2,1,1.03,40.36591014
2,ROK-19,Cloransulam,3x,3,0,0,100
2,ROK-19,Cloransulam,3x,4,0,0,100
2,ROK-19,Cloransulam,3x,5,0,0,100
2,ROK-19,Glyphosate,3x,1,0,0,100
2,ROK-19,Glyphosate,3x,2,0,0,100
2,ROK-19,Glyphosate,3x,3,0,0,100
2,ROK-19,Glyphosate,3x,4,0,0,100
2,ROK-19,Glyphosate,3x,5,0,0,100
2,ROK-19,Atrazine,3x,1,0,0,100
2,ROK-19,Atrazine,3x,2,0,0,100
2,ROK-19,Atrazine,3x,3,0,0,100
2,ROK-19,Atrazine,3x,4,0,0,100
2,ROK-19,Atrazine,3x,5,0,0,100
2,ROK-19,"2,4-D",3x,1,0,0,100
2,ROK-19,"2,4-D",3x,2,0,0,100
2,ROK-19,"2,4-D",3x,3,0,0,100
2,ROK-19,"2,4-D",3x,4,0,0,100
2,ROK-19,"2,4-D",3x,5,0,0,100
2,ROK-19,Dicamba,3x,1,0,0,100
2,ROK-19,Dicamba,3x,2,0,0,100
2,ROK-19,Dicamba,3x,3,0,0,100
2,ROK-19,Dicamba,3x,4,0,0,100
2,ROK-19,Dicamba,3x,5,0,0,100
2,ROK-19,Glufosinate,3x,1,0,0,100
2,ROK-19,Glufosinate,3x,2,0,0,100
2,ROK-19,Glufosinate,3x,3,0,0,100
2,ROK-19,Glufosinate,3x,4,0,0,100
2,ROK-19,Glufosinate,3x,5,0,0,100
2,ROK-19,Fomesafen,3x,1,0,0,100
2,ROK-19,Fomesafen,3x,2,0,0,100
2,ROK-19,Fomesafen,3x,3,0,0,100
2,ROK-19,Fomesafen,3x,4,0,0,100
2,ROK-19,Fomesafen,3x,5,0,0,100
2,ROK-19,Mesotrione,3x,1,0,0,100
2,ROK-19,Mesotrione,3x,2,0,0,100
2,ROK-19,Mesotrione,3x,3,0,0,100
2,ROK-19,Mesotrione,3x,4,0,0,100
2,ROK-19,Mesotrione,3x,5,0,0,100
