run,pop,herb,rate,rep,count,biomass
1,BS,sulf,0,1,13,0.487
1,BS,sulf,0,2,0,0
1,BS,sulf,0,3,6,0.085
1,BS,sulf,0,4,7,0.116
1,BS,sulf,35,1,15,0.122
1,BS,sulf,35,2,6,0.02
1,BS,sulf,35,3,0,0
1,BS,sulf,35,4,0,0
1,BS,sulf,70,1,0,0
1,BS,sulf,70,2,1,0.01
1,BS,sulf,70,3,2,0.017
1,BS,sulf,70,4,16,0.318
1,BS,sulf,140,1,1,0.046
1,BS,sulf,140,2,5,0.075
1,BS,sulf,140,3,0,0
1,BS,sulf,140,4,4,0.012
1,BS,sulf,280,1,1,0.003
1,BS,sulf,280,2,0,0
1,BS,sulf,280,3,0,0
1,BS,sulf,280,4,0,0
1,BS,sulf,560,1,0,0
1,BS,sulf,560,2,1,0.004
1,BS,sulf,560,3,0,0
1,BS,sulf,560,4,0,0
1,BS,sulf,1120,1,0,0
1,BS,sulf,1120,2,0,0
1,BS,sulf,1120,3,0,0
1,BS,sulf,1120,4,0,0
1,BS,sulf,2240,1,0,0
1,BS,sulf,2240,2,0,0
1,BS,sulf,2240,3,0,0
1,BS,sulf,2240,4,0,0
1,A66,sulf,0,1,0,0
1,A66,sulf,0,2,0,0
1,A66,sulf,0,3,0,0
1,A66,sulf,0,4,3,0.06
1,A66,sulf,35,1,0,0
1,A66,sulf,35,2,0,0
1,A66,sulf,35,3,0,0
1,A66,sulf,35,4,0,0
1,A66,sulf,70,1,0,0
1,A66,sulf,70,2,0,0
1,A66,sulf,70,3,0,0
1,A66,sulf,70,4,0,0
1,A66,sulf,140,1,0,0
1,A66,sulf,140,2,0,0
1,A66,sulf,140,3,0,0
1,A66,sulf,140,4,0,0
1,A66,sulf,280,1,0,0
1,A66,sulf,280,2,0,0
1,A66,sulf,280,3,0,0
1,A66,sulf,280,4,0,0
1,A66,sulf,560,1,0,0
1,A66,sulf,560,2,0,0
1,A66,sulf,560,3,0,0
1,A66,sulf,560,4,0,0
1,A66,sulf,1120,1,0,0
1,A66,sulf,1120,2,0,0
1,A66,sulf,1120,3,0,0
1,A66,sulf,1120,4,0,0
1,A66,sulf,2240,1,0,0
1,A66,sulf,2240,2,0,0
1,A66,sulf,2240,3,0,0
1,A66,sulf,2240,4,0,0
1,BS,fome,0,1,10,0.13
1,BS,fome,0,2,16,0.524
1,BS,fome,0,3,0,0
1,BS,fome,0,4,0,0
1,BS,fome,33,1,22,0.829
1,BS,fome,33,2,0,0
1,BS,fome,33,3,13,0.324
1,BS,fome,33,4,0,0
1,BS,fome,66,1,5,0.053
1,BS,fome,66,2,0,0
1,BS,fome,66,3,15,0.975
1,BS,fome,66,4,15,0.142
1,BS,fome,132,1,13,0.08
1,BS,fome,132,2,0,0
1,BS,fome,132,3,1,0.01
1,BS,fome,132,4,11,0.602
1,BS,fome,263,1,20,0.582
1,BS,fome,263,2,0,0
1,BS,fome,263,3,0,0
1,BS,fome,263,4,0,0
1,BS,fome,526,1,0,0
1,BS,fome,526,2,0,0
1,BS,fome,526,3,0,0
1,BS,fome,526,4,0,0
1,BS,fome,1052,1,3,0.061
1,BS,fome,1052,2,0,0
1,BS,fome,1052,3,0,0
1,BS,fome,1052,4,0,0
1,BS,fome,2104,1,0,0
1,BS,fome,2104,2,0,0
1,BS,fome,2104,3,0,0
1,BS,fome,2104,4,0,0
1,A66,fome,0,1,1,0.003
1,A66,fome,0,2,0,0
1,A66,fome,0,3,0,0
1,A66,fome,0,4,13,0.123
1,A66,fome,33,1,0,0
1,A66,fome,33,2,0,0
1,A66,fome,33,3,0,0
1,A66,fome,33,4,1,0.006
1,A66,fome,66,1,0,0
1,A66,fome,66,2,0,0
1,A66,fome,66,3,0,0
1,A66,fome,66,4,0,0
1,A66,fome,132,1,0,0
1,A66,fome,132,2,0,0
1,A66,fome,132,3,0,0
