id,run,pop,herb,dose,rep,count,biomass
65,1,BS,fome,0x,1,10,0.13
66,1,BS,fome,0x,2,16,0.524
67,1,BS,fome,0x,3,0,0
68,1,BS,fome,0x,4,0,0
69,1,BS,fome,0.125x,1,22,0.829
70,1,BS,fome,0.125x,2,0,0
71,1,BS,fome,0.125x,3,13,0.324
72,1,BS,fome,0.125x,4,0,0
73,1,BS,fome,0.25x,1,5,0.053
74,1,BS,fome,0.25x,2,0,0
75,1,BS,fome,0.25x,3,15,0.975
76,1,BS,fome,0.25x,4,15,0.142
77,1,BS,fome,0.5x,1,13,0.08
78,1,BS,fome,0.5x,2,0,0
79,1,BS,fome,0.5x,3,1,0.01
80,1,BS,fome,0.5x,4,11,0.602
81,1,BS,fome,1x,1,20,0.582
82,1,BS,fome,1x,2,0,0
83,1,BS,fome,1x,3,0,0
84,1,BS,fome,1x,4,0,0
85,1,BS,fome,2x,1,0,0
86,1,BS,fome,2x,2,0,0
87,1,BS,fome,2x,3,0,0
88,1,BS,fome,2x,4,0,0
89,1,BS,fome,4x,1,3,0.061
90,1,BS,fome,4x,2,0,0
91,1,BS,fome,4x,3,0,0
92,1,BS,fome,4x,4,0,0
93,1,BS,fome,8x,1,0,0
94,1,BS,fome,8x,2,0,0
95,1,BS,fome,8x,3,0,0
96,1,BS,fome,8x,4,0,0
97,1,A66,fome,0x,1,1,0.003
98,1,A66,fome,0x,2,0,0
99,1,A66,fome,0x,3,0,0
100,1,A66,fome,0x,4,13,0.123
101,1,A66,fome,0.125x,1,0,0
102,1,A66,fome,0.125x,2,0,0
103,1,A66,fome,0.125x,3,0,0
104,1,A66,fome,0.125x,4,1,0.006
105,1,A66,fome,0.25x,1,0,0
106,1,A66,fome,0.25x,2,0,0
107,1,A66,fome,0.25x,3,0,0
108,1,A66,fome,0.25x,4,0,0
109,1,A66,fome,0.5x,1,0,0
110,1,A66,fome,0.5x,2,0,0
111,1,A66,fome,0.5x,3,0,0
112,1,A66,fome,0.5x,4,0,0
113,1,A66,fome,1x,1,0,0
114,1,A66,fome,1x,2,0,0
115,1,A66,fome,1x,3,0,0
116,1,A66,fome,1x,4,0,0
117,1,A66,fome,2x,1,0,0
118,1,A66,fome,2x,2,0,0
119,1,A66,fome,2x,3,0,0
120,1,A66,fome,2x,4,0,0
121,1,A66,fome,4x,1,0,0
122,1,A66,fome,4x,2,0,0
123,1,A66,fome,4x,3,0,0
124,1,A66,fome,4x,4,0,0
125,1,A66,fome,8x,1,0,0
126,1,A66,fome,8x,2,0,0
127,1,A66,fome,8x,3,0,0
128,1,A66,fome,8x,4,0,0
65,2,BS,fome,0x,1,6,0.016
66,2,BS,fome,0x,2,5,0.103
67,2,BS,fome,0x,3,26,0.304
68,2,BS,fome,0x,4,13,0.227
69,2,BS,fome,0.125x,1,18,0.266
70,2,BS,fome,0.125x,2,12,0.238
71,2,BS,fome,0.125x,3,14,0.308
72,2,BS,fome,0.125x,4,36,0.822
73,2,BS,fome,0.25x,1,1,0.014
74,2,BS,fome,0.25x,2,0,0
75,2,BS,fome,0.25x,3,1,0.005
76,2,BS,fome,0.25x,4,40,0.441
77,2,BS,fome,0.5x,1,4,0.005
78,2,BS,fome,0.5x,2,0,0
79,2,BS,fome,0.5x,3,0,0
80,2,BS,fome,0.5x,4,17,0.22
81,2,BS,fome,1x,1,0,0
82,2,BS,fome,1x,2,0,0
83,2,BS,fome,1x,3,0,0
84,2,BS,fome,1x,4,0,0
89,2,BS,fome,2x,1,0,0
90,2,BS,fome,2x,2,0,0
91,2,BS,fome,2x,3,0,0
92,2,BS,fome,2x,4,0,0
85,2,BS,fome,4x,1,0,0
86,2,BS,fome,4x,2,0,0
87,2,BS,fome,4x,3,0,0
88,2,BS,fome,4x,4,0,0
93,2,BS,fome,8x,1,0,0
94,2,BS,fome,8x,2,2,0.014
95,2,BS,fome,8x,3,0,0
96,2,BS,fome,8x,4,0,0
97,2,A66,fome,0x,1,0,0
98,2,A66,fome,0x,2,0,0
99,2,A66,fome,0x,3,0,0
100,2,A66,fome,0x,4,16,0.142
101,2,A66,fome,0.125x,1,0,0
102,2,A66,fome,0.125x,2,4,0.018
103,2,A66,fome,0.125x,3,0,0
104,2,A66,fome,0.125x,4,0,0
105,2,A66,fome,0.25x,1,1,0.008
106,2,A66,fome,0.25x,2,0,0
107,2,A66,fome,0.25x,3,0,0
108,2,A66,fome,0.25x,4,0,0
109,2,A66,fome,0.5x,1,0,0
110,2,A66,fome,0.5x,2,0,0
111,2,A66,fome,0.5x,3,0,0
112,2,A66,fome,0.5x,4,0,0
113,2,A66,fome,1x,1,0,0
114,2,A66,fome,1x,2,0,0
115,2,A66,fome,1x,3,0,0
116,2,A66,fome,1x,4,0,0
121,2,A66,fome,2x,1,0,0
122,2,A66,fome,2x,2,0,0
123,2,A66,fome,2x,3,0,0
124,2,A66,fome,2x,4,0,0
117,2,A66,fome,4x,1,0,0
118,2,A66,fome,4x,2,0,0
119,2,A66,fome,4x,3,0,0
120,2,A66,fome,4x,4,0,0
125,2,A66,fome,8x,1,0,0
126,2,A66,fome,8x,2,0,0
127,2,A66,fome,8x,3,0,0
128,2,A66,fome,8x,4,0,0
