id,run,pop,herb,dose,rep,count,biomass
1,1,BS,sulf,0x,1,13,0.487
2,1,BS,sulf,0x,2,0,0
3,1,BS,sulf,0x,3,6,0.085
4,1,BS,sulf,0x,4,7,0.116
5,1,BS,sulf,0.125x,1,15,0.122
6,1,BS,sulf,0.125x,2,6,0.02
7,1,BS,sulf,0.125x,3,0,0
8,1,BS,sulf,0.125x,4,0,0
9,1,BS,sulf,0.25x,1,0,0
10,1,BS,sulf,0.25x,2,1,0.01
11,1,BS,sulf,0.25x,3,2,0.017
12,1,BS,sulf,0.25x,4,16,0.318
13,1,BS,sulf,0.5x,1,1,0.046
14,1,BS,sulf,0.5x,2,5,0.075
15,1,BS,sulf,0.5x,3,0,0
16,1,BS,sulf,0.5x,4,4,0.012
17,1,BS,sulf,1x,1,1,0.003
18,1,BS,sulf,1x,2,0,0
19,1,BS,sulf,1x,3,0,0
20,1,BS,sulf,1x,4,0,0
21,1,BS,sulf,2x,1,0,0
22,1,BS,sulf,2x,2,1,0.004
23,1,BS,sulf,2x,3,0,0
24,1,BS,sulf,2x,4,0,0
25,1,BS,sulf,4x,1,0,0
26,1,BS,sulf,4x,2,0,0
27,1,BS,sulf,4x,3,0,0
28,1,BS,sulf,4x,4,0,0
29,1,BS,sulf,8x,1,0,0
30,1,BS,sulf,8x,2,0,0
31,1,BS,sulf,8x,3,0,0
32,1,BS,sulf,8x,4,0,0
33,1,A66,sulf,0x,1,0,0
34,1,A66,sulf,0x,2,0,0
35,1,A66,sulf,0x,3,0,0
36,1,A66,sulf,0x,4,3,0.06
37,1,A66,sulf,0.125x,1,0,0
38,1,A66,sulf,0.125x,2,0,0
39,1,A66,sulf,0.125x,3,0,0
40,1,A66,sulf,0.125x,4,0,0
41,1,A66,sulf,0.25x,1,0,0
42,1,A66,sulf,0.25x,2,0,0
43,1,A66,sulf,0.25x,3,0,0
44,1,A66,sulf,0.25x,4,0,0
45,1,A66,sulf,0.5x,1,0,0
46,1,A66,sulf,0.5x,2,0,0
47,1,A66,sulf,0.5x,3,0,0
48,1,A66,sulf,0.5x,4,0,0
49,1,A66,sulf,1x,1,0,0
50,1,A66,sulf,1x,2,0,0
51,1,A66,sulf,1x,3,0,0
52,1,A66,sulf,1x,4,0,0
53,1,A66,sulf,2x,1,0,0
54,1,A66,sulf,2x,2,0,0
55,1,A66,sulf,2x,3,0,0
56,1,A66,sulf,2x,4,0,0
57,1,A66,sulf,4x,1,0,0
58,1,A66,sulf,4x,2,0,0
59,1,A66,sulf,4x,3,0,0
60,1,A66,sulf,4x,4,0,0
61,1,A66,sulf,8x,1,0,0
62,1,A66,sulf,8x,2,0,0
63,1,A66,sulf,8x,3,0,0
64,1,A66,sulf,8x,4,0,0
1,2,BS,sulf,0x,1,6,0.066
2,2,BS,sulf,0x,2,5,0.048
3,2,BS,sulf,0x,3,5,0.054
4,2,BS,sulf,0x,4,4,0.037
5,2,BS,sulf,0.125x,1,1,0.008
6,2,BS,sulf,0.125x,2,15,0.122
7,2,BS,sulf,0.125x,3,0,0
8,2,BS,sulf,0.125x,4,22,0.596
9,2,BS,sulf,0.25x,1,0,0
10,2,BS,sulf,0.25x,2,8,0.044
11,2,BS,sulf,0.25x,3,4,0.022
12,2,BS,sulf,0.25x,4,2,0.01
13,2,BS,sulf,0.5x,1,0,0
14,2,BS,sulf,0.5x,2,0,0
15,2,BS,sulf,0.5x,3,0,0
16,2,BS,sulf,0.5x,4,1,0.016
17,2,BS,sulf,1x,1,0,0
18,2,BS,sulf,1x,2,0,0
19,2,BS,sulf,1x,3,0,0
20,2,BS,sulf,1x,4,0,0
21,2,BS,sulf,2x,1,0,0
22,2,BS,sulf,2x,2,0,0
23,2,BS,sulf,2x,3,0,0
24,2,BS,sulf,2x,4,0,0
25,2,BS,sulf,4x,1,0,0
26,2,BS,sulf,4x,2,0,0
27,2,BS,sulf,4x,3,0,0
28,2,BS,sulf,4x,4,0,0
29,2,BS,sulf,8x,1,0,0
30,2,BS,sulf,8x,2,0,0
31,2,BS,sulf,8x,3,0,0
32,2,BS,sulf,8x,4,0,0
33,2,A66,sulf,0x,1,13,0.176
34,2,A66,sulf,0x,2,5,0.02
35,2,A66,sulf,0x,3,4,0.023
36,2,A66,sulf,0x,4,5,0.208
37,2,A66,sulf,0.125x,1,0,0
38,2,A66,sulf,0.125x,2,2,0.006
39,2,A66,sulf,0.125x,3,0,0
40,2,A66,sulf,0.125x,4,0,0
41,2,A66,sulf,0.25x,1,0,0
42,2,A66,sulf,0.25x,2,0,0
43,2,A66,sulf,0.25x,3,0,0
44,2,A66,sulf,0.25x,4,0,0
45,2,A66,sulf,0.5x,1,0,0
46,2,A66,sulf,0.5x,2,0,0
47,2,A66,sulf,0.5x,3,0,0
48,2,A66,sulf,0.5x,4,0,0
49,2,A66,sulf,1x,1,0,0
50,2,A66,sulf,1x,2,0,0
51,2,A66,sulf,1x,3,0,0
52,2,A66,sulf,1x,4,0,0
53,2,A66,sulf,2x,1,0,0
54,2,A66,sulf,2x,2,0,0
55,2,A66,sulf,2x,3,0,0
56,2,A66,sulf,2x,4,0,0
57,2,A66,sulf,4x,1,0,0
58,2,A66,sulf,4x,2,0,0
59,2,A66,sulf,4x,3,0,0
60,2,A66,sulf,4x,4,0,0
61,2,A66,sulf,8x,1,0,0
62,2,A66,sulf,8x,2,0,0
63,2,A66,sulf,8x,3,0,0
64,2,A66,sulf,8x,4,0,0
