run,pop,herb,rate,rep,count,biomass
1,BS,sulf,0,1,13,0.49
1,BS,sulf,0,2,0,0.00
1,BS,sulf,0,3,6,0.09
1,BS,sulf,0,4,7,0.12
1,BS,sulf,35,1,15,0.12
1,BS,sulf,35,2,6,0.02
1,BS,sulf,35,3,0,0.00
1,BS,sulf,35,4,0,0.00
1,BS,sulf,70,1,0,0.00
1,BS,sulf,70,2,1,0.01
1,BS,sulf,70,3,2,0.02
1,BS,sulf,70,4,16,0.32
1,BS,sulf,140,1,1,0.05
1,BS,sulf,140,2,5,0.08
1,BS,sulf,140,3,0,0.00
1,BS,sulf,140,4,4,0.01
1,BS,sulf,280,1,1,0.00
1,BS,sulf,280,2,0,0.00
1,BS,sulf,280,3,0,0.00
1,BS,sulf,280,4,0,0.00
1,BS,sulf,560,1,0,0.00
1,BS,sulf,560,2,1,0.00
1,BS,sulf,560,3,0,0.00
1,BS,sulf,560,4,0,0.00
1,BS,sulf,1120,1,0,0.00
1,BS,sulf,1120,2,0,0.00
1,BS,sulf,1120,3,0,0.00
1,BS,sulf,1120,4,0,0.00
1,BS,sulf,2240,1,0,0.00
1,BS,sulf,2240,2,0,0.00
1,BS,sulf,2240,3,0,0.00
1,BS,sulf,2240,4,0,0.00
1,A66,sulf,0,1,13,0.18
1,A66,sulf,0,2,5,0.02
1,A66,sulf,0,3,4,0.02
1,A66,sulf,0,4,5,0.21
1,A66,sulf,35,1,1,0.01
1,A66,sulf,35,2,2,0.02
1,A66,sulf,35,3,1,0.01
1,A66,sulf,35,4,1,0.01
1,A66,sulf,70,1,0,0.00
1,A66,sulf,70,2,0,0.00
1,A66,sulf,70,3,0,0.00
1,A66,sulf,70,4,0,0.00
1,A66,sulf,140,1,0,0.00
1,A66,sulf,140,2,0,0.00
1,A66,sulf,140,3,0,0.00
1,A66,sulf,140,4,0,0.00
1,A66,sulf,280,1,0,0.00
1,A66,sulf,280,2,0,0.00
1,A66,sulf,280,3,0,0.00
1,A66,sulf,280,4,0,0.00
1,A66,sulf,560,1,0,0.00
1,A66,sulf,560,2,0,0.00
1,A66,sulf,560,3,0,0.00
1,A66,sulf,560,4,0,0.00
1,A66,sulf,1120,1,0,0.00
1,A66,sulf,1120,2,0,0.00
1,A66,sulf,1120,3,0,0.00
1,A66,sulf,1120,4,0,0.00
1,A66,sulf,2240,1,0,0.00
1,A66,sulf,2240,2,0,0.00
1,A66,sulf,2240,3,0,0.00
1,A66,sulf,2240,4,0,0.00
2,BS,sulf,0,1,6,0.07
2,BS,sulf,0,2,5,0.05
2,BS,sulf,0,3,5,0.05
2,BS,sulf,0,4,4,0.04
2,BS,sulf,35,1,1,0.01
2,BS,sulf,35,2,15,0.12
2,BS,sulf,35,3,0,0.00
2,BS,sulf,35,4,22,0.60
2,BS,sulf,70,1,0,0.00
2,BS,sulf,70,2,8,0.04
2,BS,sulf,70,3,4,0.02
2,BS,sulf,70,4,2,0.01
2,BS,sulf,140,1,0,0.00
2,BS,sulf,140,2,0,0.00
2,BS,sulf,140,3,0,0.00
2,BS,sulf,140,4,1,0.02
2,BS,sulf,280,1,0,0.00
2,BS,sulf,280,2,0,0.00
2,BS,sulf,280,3,0,0.00
2,BS,sulf,280,4,0,0.00
2,BS,sulf,560,1,0,0.00
2,BS,sulf,560,2,0,0.00
2,BS,sulf,560,3,0,0.00
2,BS,sulf,560,4,0,0.00
2,BS,sulf,1120,1,0,0.00
2,BS,sulf,1120,2,0,0.00
2,BS,sulf,1120,3,0,0.00
2,BS,sulf,1120,4,0,0.00
2,BS,sulf,2240,1,0,0.00
2,BS,sulf,2240,2,0,0.00
2,BS,sulf,2240,3,0,0.00
2,BS,sulf,2240,4,0,0.00
2,A66,sulf,0,1,13,0.18
2,A66,sulf,0,2,5,0.02
2,A66,sulf,0,3,4,0.02
2,A66,sulf,0,4,5,0.21
2,A66,sulf,35,1,1,0.01
2,A66,sulf,35,2,2,0.02
2,A66,sulf,35,3,1,0.01
2,A66,sulf,35,4,1,0.01
2,A66,sulf,70,1,0,0.00
2,A66,sulf,70,2,0,0.00
2,A66,sulf,70,3,0,0.00
2,A66,sulf,70,4,0,0.00
2,A66,sulf,140,1,0,0.00
2,A66,sulf,140,2,0,0.00
2,A66,sulf,140,3,0,0.00
2,A66,sulf,140,4,0,0.00
2,A66,sulf,280,1,0,0.00
2,A66,sulf,280,2,0,0.00
2,A66,sulf,280,3,0,0.00
2,A66,sulf,280,4,0,0.00
2,A66,sulf,560,1,0,0.00
2,A66,sulf,560,2,0,0.00
2,A66,sulf,560,3,0,0.00
2,A66,sulf,560,4,0,0.00
2,A66,sulf,1120,1,0,0.00
2,A66,sulf,1120,2,0,0.00
2,A66,sulf,1120,3,0,0.00
2,A66,sulf,1120,4,0,0.00
2,A66,sulf,2240,1,0,0.00
2,A66,sulf,2240,2,0,0.00
2,A66,sulf,2240,3,0,0.00
2,A66,sulf,2240,4,0,0.00
