run,pop,herb,rate,rep,count,biomass,count_red,bio_red
1,BS,sulf,35,1,15,0.122,0.01,0.29
1,BS,sulf,35,2,6,0.02,0.08,0.88
1,BS,sulf,35,3,0,0,0.99,0.99
1,BS,sulf,35,4,0,0,0.99,0.99
1,BS,sulf,70,1,0,0,0.99,0.99
1,BS,sulf,70,2,1,0.01,0.85,0.94
1,BS,sulf,70,3,2,0.017,0.69,0.90
1,BS,sulf,70,4,16,0.318,0.01,0.01
1,BS,sulf,140,1,1,0.046,0.85,0.73
1,BS,sulf,140,2,5,0.075,0.23,0.56
1,BS,sulf,140,3,0,0,0.99,0.99
1,BS,sulf,140,4,4,0.012,0.38,0.93
1,BS,sulf,280,1,1,0.003,0.85,0.98
1,BS,sulf,280,2,0,0,0.99,0.99
1,BS,sulf,280,3,0,0,0.99,0.99
1,BS,sulf,280,4,0,0,0.99,0.99
1,BS,sulf,560,1,0,0,0.99,0.99
1,BS,sulf,560,2,1,0.004,0.85,0.98
1,BS,sulf,560,3,0,0,0.99,0.99
1,BS,sulf,560,4,0,0,0.99,0.99
1,BS,sulf,1120,1,0,0,0.99,0.99
1,BS,sulf,1120,2,0,0,0.99,0.99
1,BS,sulf,1120,3,0,0,0.99,0.99
1,BS,sulf,1120,4,0,0,0.99,0.99
1,BS,sulf,2240,1,0,0,0.99,0.99
1,BS,sulf,2240,2,0,0,0.99,0.99
1,BS,sulf,2240,3,0,0,0.99,0.99
1,BS,sulf,2240,4,0,0,0.99,0.99
1,A66,sulf,35,1,0,0,0.99,0.99
1,A66,sulf,35,2,0,0,0.99,0.99
1,A66,sulf,35,3,0,0,0.99,0.99
1,A66,sulf,35,4,0,0,0.99,0.99
1,A66,sulf,70,1,0,0,0.99,0.99
1,A66,sulf,70,2,0,0,0.99,0.99
1,A66,sulf,70,3,0,0,0.99,0.99
1,A66,sulf,70,4,0,0,0.99,0.99
1,A66,sulf,140,1,0,0,0.99,0.99
1,A66,sulf,140,2,0,0,0.99,0.99
1,A66,sulf,140,3,0,0,0.99,0.99
1,A66,sulf,140,4,0,0,0.99,0.99
1,A66,sulf,280,1,0,0,0.99,0.99
1,A66,sulf,280,2,0,0,0.99,0.99
1,A66,sulf,280,3,0,0,0.99,0.99
1,A66,sulf,280,4,0,0,0.99,0.99
1,A66,sulf,560,1,0,0,0.99,0.99
1,A66,sulf,560,2,0,0,0.99,0.99
1,A66,sulf,560,3,0,0,0.99,0.99
1,A66,sulf,560,4,0,0,0.99,0.99
1,A66,sulf,1120,1,0,0,0.99,0.99
1,A66,sulf,1120,2,0,0,0.99,0.99
1,A66,sulf,1120,3,0,0,0.99,0.99
1,A66,sulf,1120,4,0,0,0.99,0.99
1,A66,sulf,2240,1,0,0,0.99,0.99
1,A66,sulf,2240,2,0,0,0.99,0.99
1,A66,sulf,2240,3,0,0,0.99,0.99
1,A66,sulf,2240,4,0,0,0.99,0.99
2,BS,sulf,35,1,1,0.008,0.85,0.95
2,BS,sulf,35,2,15,0.122,0.01,0.29
2,BS,sulf,35,3,0,0,0.99,0.99
2,BS,sulf,35,4,22,0.596,0.01,0.01
