run,pop,herb,rate,rep,count,biomass
1,A92,sulf,0,1,13,0.487
1,A92,sulf,0,2,0,0
1,A92,sulf,0,3,6,0.085
1,A92,sulf,0,4,7,0.116
1,A92,sulf,35,1,15,0.122
1,A92,sulf,35,2,6,0.02
1,A92,sulf,35,3,0,0
1,A92,sulf,35,4,0,0
1,A92,sulf,70,1,0,0
1,A92,sulf,70,2,1,0.01
1,A92,sulf,70,3,2,0.017
1,A92,sulf,70,4,16,0.318
1,A92,sulf,140,1,1,0.046
1,A92,sulf,140,2,5,0.075
1,A92,sulf,140,3,0,0
1,A92,sulf,140,4,4,0.012
1,A92,sulf,280,1,1,0.003
1,A92,sulf,280,2,0,0
1,A92,sulf,280,3,0,0
1,A92,sulf,280,4,0,0
1,A92,sulf,560,1,0,0
1,A92,sulf,560,2,1,0.004
1,A92,sulf,560,3,0,0
1,A92,sulf,560,4,0,0
1,A92,sulf,1120,1,0,0
1,A92,sulf,1120,2,0,0
1,A92,sulf,1120,3,0,0
1,A92,sulf,1120,4,0,0
1,A92,sulf,2240,1,0,0
1,A92,sulf,2240,2,0,0
1,A92,sulf,2240,3,0,0
1,A92,sulf,2240,4,0,0
1,A66,sulf,0,1,3,0.06
1,A66,sulf,0,2,3,0.06
1,A66,sulf,0,3,3,0.06
1,A66,sulf,0,4,3,0.06
1,A66,sulf,35,1,2,0.006
1,A66,sulf,35,2,2,0.006
1,A66,sulf,35,3,2,0.006
1,A66,sulf,35,4,2,0.006
1,A66,sulf,70,1,0,0
1,A66,sulf,70,2,0,0
1,A66,sulf,70,3,0,0
1,A66,sulf,70,4,0,0
1,A66,sulf,140,1,0,0
1,A66,sulf,140,2,0,0
1,A66,sulf,140,3,0,0
1,A66,sulf,140,4,0,0
1,A66,sulf,280,1,0,0
1,A66,sulf,280,2,0,0
1,A66,sulf,280,3,0,0
1,A66,sulf,280,4,0,0
1,A66,sulf,560,1,0,0
1,A66,sulf,560,2,0,0
1,A66,sulf,560,3,0,0
1,A66,sulf,560,4,0,0
1,A66,sulf,1120,1,0,0
1,A66,sulf,1120,2,0,0
1,A66,sulf,1120,3,0,0
1,A66,sulf,1120,4,0,0
1,A66,sulf,2240,1,0,0
1,A66,sulf,2240,2,0,0
1,A66,sulf,2240,3,0,0
1,A66,sulf,2240,4,0,0
2,A92,sulf,0,1,6,0.066
2,A92,sulf,0,2,5,0.048
2,A92,sulf,0,3,5,0.054
2,A92,sulf,0,4,4,0.037
2,A92,sulf,35,1,1,0.008
2,A92,sulf,35,2,15,0.122
2,A92,sulf,35,3,0,0
2,A92,sulf,35,4,22,0.596
2,A92,sulf,70,1,0,0
2,A92,sulf,70,2,8,0.044
2,A92,sulf,70,3,4,0.022
2,A92,sulf,70,4,2,0.01
2,A92,sulf,140,1,0,0
2,A92,sulf,140,2,0,0
2,A92,sulf,140,3,0,0
2,A92,sulf,140,4,1,0.016
2,A92,sulf,280,1,0,0
2,A92,sulf,280,2,0,0
2,A92,sulf,280,3,0,0
2,A92,sulf,280,4,0,0
2,A92,sulf,560,1,0,0
2,A92,sulf,560,2,0,0
2,A92,sulf,560,3,0,0
2,A92,sulf,560,4,0,0
2,A92,sulf,1120,1,0,0
2,A92,sulf,1120,2,0,0
2,A92,sulf,1120,3,0,0
2,A92,sulf,1120,4,0,0
2,A92,sulf,2240,1,0,0
2,A92,sulf,2240,2,0,0
2,A92,sulf,2240,3,0,0
2,A92,sulf,2240,4,0,0
2,A66,sulf,0,1,13,0.176
2,A66,sulf,0,2,5,0.02
2,A66,sulf,0,3,4,0.023
2,A66,sulf,0,4,5,0.208
2,A66,sulf,35,1,2,0.006
2,A66,sulf,35,2,2,0.006
2,A66,sulf,35,3,2,0.006
2,A66,sulf,35,4,2,0.006
2,A66,sulf,70,1,0,0
2,A66,sulf,70,2,0,0
2,A66,sulf,70,3,0,0
2,A66,sulf,70,4,0,0
2,A66,sulf,140,1,0,0
2,A66,sulf,140,2,0,0
2,A66,sulf,140,3,0,0
2,A66,sulf,140,4,0,0
2,A66,sulf,280,1,0,0
2,A66,sulf,280,2,0,0
2,A66,sulf,280,3,0,0
2,A66,sulf,280,4,0,0
2,A66,sulf,560,1,0,0
2,A66,sulf,560,2,0,0
2,A66,sulf,560,3,0,0
2,A66,sulf,560,4,0,0
2,A66,sulf,1120,1,0,0
2,A66,sulf,1120,2,0,0
2,A66,sulf,1120,3,0,0
2,A66,sulf,1120,4,0,0
2,A66,sulf,2240,1,0,0
2,A66,sulf,2240,2,0,0
2,A66,sulf,2240,3,0,0
2,A66,sulf,2240,4,0,0
