run,pop,herb,rate,rep,ve,biomass,ve_red,bio_red
1,A1,glyphosate,1x,1,9,1.9145,0.1000000000,0.1927958060
1,A1,glyphosate,1x,2,9,2.1792,0.1000000000,0.0811912360
1,A1,glyphosate,1x,3,8,0.9946,0.2000000000,0.5806501480
1,A1,glyphosate,1x,4,9,1.9769,0.1000000000,0.1664863040
1,A1,glyphosate,1x,5,9,1.2498,0.1000000000,0.4730510310
1,A1,glyphosate,1x,6,9,2.2653,0.1000000000,0.0448891830
1,A1,glyphosate,1x,7,9,2.2264,0.1000000000,0.0612904590
1,A1,glyphosate,1x,8,9,2.0881,0.1000000000,0.1196014220
1,A2,glyphosate,1x,1,9,1.9244,0.1000000000,0.3168315950
1,A2,glyphosate,1x,2,9,2.8625,0.1000000000,0.0000000001
1,A2,glyphosate,1x,3,9,2.5127,0.1000000000,0.1079831370
1,A2,glyphosate,1x,4,8,1.2523,0.2000000000,0.5554293320
1,A2,glyphosate,1x,5,9,2.2451,0.1000000000,0.2029820280
1,A2,glyphosate,1x,6,9,2.0873,0.1000000000,0.2590015530
1,A2,glyphosate,1x,7,8,2.4949,0.2000000000,0.1143021970
1,A2,glyphosate,1x,8,9,2.0815,0.1000000000,0.2610605720
1,A3,glyphosate,1x,1,9,2.4634,0.1000000000,0.0000000001
1,A3,glyphosate,1x,2,9,2.1441,0.1000000000,0.1272705070
1,A3,glyphosate,1x,3,9,3.0022,0.1000000000,0.0000000001
1,A3,glyphosate,1x,4,9,2.2257,0.1000000000,0.0940562320
1,A3,glyphosate,1x,5,9,2.4988,0.1000000000,0.0000000001
1,A3,glyphosate,1x,6,9,2.1963,0.1000000000,0.1060231400
1,A3,glyphosate,1x,7,9,2.123,0.1000000000,0.1358590020
1,A3,glyphosate,1x,8,9,1.8427,0.1000000000,0.2499516640
1,A5,glyphosate,1x,1,9,2.7845,0.1000000000,0.0000000001
1,A5,glyphosate,1x,2,9,2.7033,0.1000000000,0.0000000001
1,A5,glyphosate,1x,3,9,2.3714,0.1000000000,0.0000000001
1,A5,glyphosate,1x,4,9,2.5892,0.1000000000,0.0000000001
1,A5,glyphosate,1x,5,9,2.3833,0.1000000000,0.0000000001
1,A5,glyphosate,1x,6,8,2.3922,0.2000000000,0.0000000001
1,A5,glyphosate,1x,7,9,2.1538,0.1000000000,0.0509072080
1,A5,glyphosate,1x,8,9,2.7441,0.1000000000,0.0000000001
1,A6,glyphosate,1x,1,9,2.3004,0.1000000000,0.0483006850
1,A6,glyphosate,1x,2,9,2.2471,0.1000000000,0.0703514470
1,A6,glyphosate,1x,3,8,1.632,0.2000000000,0.3248246900
1,A6,glyphosate,1x,4,9,1.851,0.1000000000,0.2342221210
1,A6,glyphosate,1x,5,9,2.997,0.1000000000,0.0000000001
1,A6,glyphosate,1x,6,9,2.5524,0.1000000000,0.0000000001
1,A6,glyphosate,1x,7,9,3.0696,0.1000000000,0.0000000001
1,A6,glyphosate,1x,8,9,3.2138,0.1000000000,0.0000000001
1,A7,glyphosate,1x,1,9,2.3897,0.1000000000,0.2261083580
1,A7,glyphosate,1x,2,9,3.0895,0.1000000000,0.0000000001
1,A7,glyphosate,1x,3,9,2.1382,0.1000000000,0.3075552970
1,A7,glyphosate,1x,4,9,4.9243,0.1000000000,0.0000000001
1,A7,glyphosate,1x,5,9,2.3126,0.1000000000,0.2510767840
1,A7,glyphosate,1x,6,9,2.7146,0.1000000000,0.1208912210
1,A7,glyphosate,1x,7,4,0.18,0.6000000000,0.9417079570
1,A7,glyphosate,1x,8,9,2.6305,0.1000000000,0.1481265590
1,A8,glyphosate,1x,1,1,0,0.9000000000,0.9999999999
1,A8,glyphosate,1x,2,8,2.3008,0.2000000000,0.2645147890
1,A8,glyphosate,1x,3,1,0,0.9000000000,0.9999999999
1,A8,glyphosate,1x,4,9,4.3308,0.1000000000,0.0000000001
1,A8,glyphosate,1x,5,9,5.1141,0.1000000000,0.0000000001
1,A8,glyphosate,1x,6,9,4.7148,0.1000000000,0.0000000001
1,A8,glyphosate,1x,7,8,2.3882,0.2000000000,0.2365760680
1,A8,glyphosate,1x,8,1,0,0.9000000000,0.9999999999
